Sr No, Blood Bank Name, State, District, City, Address, Website, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, Latitude, Longitude
570,"Nukem Blood Bank, Vapi",Gujarat,VALSAD,Valsad,"Nukem Blood Bank and Haria Rotary Hospital, 
Plot No. 363 A- 364, G.I.D.C., Vapi, Valsad",http://www.hariarotaryhospital.com/,MD,Private,YES,NO,24X7,20.381255,72.920819
571,Smt. Puriben Popat Lakha Blood Bank,Gujarat,VALSAD,Vapi,"Blood Bank, Smt. Puriben  Popat  Lakha Lions Blood Bank sanchalak Lions Club of Vapi Udyognagar Charitable Trust,
Plot No : 366/A, Prashant Park, Near Jain Tample, G.I.D.C, 
Vapi, Valsad",,MD,Private,YES,NO,24X7,20.373994,72.904781
572,Military Hospital Blood Bank Ambala,Haryana,AMBALA,Ambala,"Blood Bank, Military Hosptial, Ambala Cantt.",,,Government,,,,30.353047,76.833532
573,MM Institute of Medical Sciences and Research Blood Bank,Haryana,AMBALA,Ambala,Mulana,,MD (Pathology),Private,YES,NO,24X7,30.252282,77.049488
574,Sanjeevani Blood Bank,Haryana,AMBALA,Ambala,"111, Near Railway Road, Sadar Bazar, Ambala Cantt.",,MD (Pathology),Private,NO,NO,24X7,30.339065,76.836686
575,General Hospital Blood Bank Ambala City ,Haryana,AMBALA,Ambala City,"Civil Hospital, Ground Floor, Near Polytechnic Chowk ",,MD (Pathology),Government,NO,NO,24X7,30.378711,76.779636
576,Philadelphia Mission Hospital Blood Bank,Haryana,AMBALA,Ambala City,"Post box 40, Near RA Chowk, Ambala",,MBBS,Charity,NO,NO,9am - 5pm,30.383042,76.785947
577,General Hospital Bhiwani Blood Bank ,Haryana,BHIWANI,Bhiwani,"Bhiwani, Park Colony, Vijay Nagar, Bhiwani,",,,Government,NO,,24X7,28.797229,76.13081
578,City Blood Bank,Haryana,BHIWANI,Bhiwani,"Circular Road, Bhiwani",,,Private,,,,0.0,0.0
579,Gold Field Hospital and Research Centre,Haryana,FARIDABAD,Ballabgarh,"Village and post office Chhainsa, Ballabgarh, Faridabad.",,MD (Pathology),Private,YES,YES,24X7,28.277083,77.454948
580,Badshah Khan General Hospital Blood Bank,Haryana,FARIDABAD,Faridabad,"New Industrial Township, Faridabad",,,Government,YES,,24X7,28.392623,77.299274
581,Escorts Hospital and Research Center Limited Blood Bank,Haryana,FARIDABAD,Faridabad,"Neelam Bata Road, NIT Faridabad.",,"MBBS, MHA",Private,YES,YES,24X7,28.391378,77.306856
582,M/s Sunflag Hospital and Research Centre Blood Bank,Haryana,FARIDABAD,Faridabad,"M/s Sunflag Hospital and Research Centre, Sector-16A,  Faridabad",,MD (Pathology),Private,YES,YES,24X7,28.40274,77.31823
583,Sarvodaya Hospital and Research Centre,Haryana,FARIDABAD,Faridabad,"YMCA Road, Sector-8, Near ESI Hospital, Faridabad",http://www.sarvodayahospital.com/,"MD (Pathology, DNB (Pathology)",Private,YES,YES,24X7,28.422451,77.316923
584,QRG Central Hospital and Research Centre Blood Bank,Haryana,FARIDABAD,Faridabad,"69, Delhi Mathura Road, Near Neelam Flyover, Ajronda Chowk, Sector 20 A,",http://www.qrgmedicare.com/central/,MD (Pathology),Private,YES,YES,24X7,28.393014,77.310047
585,Sant Bhagat Singh Maharaj Ji Charitable Hospital Blood Bank,Haryana,FARIDABAD,Faridabad,"No - 1697, K Block, NIT, Faridabad,
",,,Charity,YES,,,28.383115,77.302218
586,Asian Institute of Medical Sciences Blood Bank,Haryana,FARIDABAD,Faridabad,"Badkhal Flyover Road, Sector 21-A, Faridabad",http://www.aimsindia.com,MD (Pathology),Private,YES,YES,24X7,28.425756,77.299823
587,Metro Heart Institute with Multispecialty,Haryana,FARIDABAD,Faridabad,"(A Unit of Metro Speciality Hospitals Private Limited) Sector 16A, Near Sunflag Hospital, Faridabad",http://www.metrohospitalfaridabad.com,MD (Pathology),Private,YES,YES,24X7,28.406835,77.318049
588,General Hospital Blood Bank Fatehabad,Haryana,FATEHABAD,Fatehabad,"District Blood Tranfusion Center, General Hospital 
Fatehabad",,,Government,NO,,24X7,29.517629,75.448988
589,Jagdambe Blood Bank,Haryana,FATEHABAD,Tohana,"Aggarwal Hospital, Kali Mandir Road, Bhatia Nagar, Tohana, Near Ram Bhawan",,"MBBS, DLO",Private,YES,NO,24X7,29.715587,75.900961
590,Paras Health Care Private Limited Blood Bank,Haryana,GURGAON,Gurugram,"C-1, Sushant Lok City, Phase I, Sector 43, Gurgaon",http://www.parashealthcare.com,"MBBS, Diploma IN clinical research",Private,YES,YES,24X7,28.451204,77.087719
591,Artemis Medicare Services Limited Blood Bank,Haryana,GURGAON,Gurugram,"Artemis Hospital, Sector-51, Gurugram",http://www.artemishospitals.com/,MD (Pathology),Private,YES,YES,24X7,28.43132,77.072134
592,Medanta The Medicity Hospital Blood Bank,Haryana,GURGAON,Gurugram,"CH Baktawar Singh Road, Sector 38, Gurugram,",http://www.medanta.org/,MD (Pathology),Private,YES,YES,24X7,28.439105,77.040909
593,Alchemist Institute of Medical Sciences Blood Bank,Haryana,GURGAON,Gurugram,"Alchemist Institute of Medical Sciences (A Unit of Alchemist Hospitals Limited) DLF Golf Course Road, Sector-53, Saraswati Kunj",http://www.alchemisthospitals.com/,"MBBS, DNB",Private,YES,YES,24X7,28.439328,77.10227
594,SGT Medical College Hospital and Research Institute Blood Bank ,Haryana,GURGAON,Gurugram,"Near Sultanpur Bird Sanctuary, Village Budhera, Gurugram, ",http://www.sgtmedicalcollege.org/,MD (Pathology),Charity,YES,NO,24X7,28.478407,76.902714
595,Park Hospital Blood Bank,Haryana,GURGAON,Gurugram,"Q Block, South City 2, Sohna Road, Main Sec-47, ",https://www.parkhospital.in/,"MBBS, DCP ",Private,YES,YES,24X7,28.420003,77.048378
596,Fortis Memorial Research Institute Blood Bank,Haryana,GURGAON,Gurugram,"A unit of Fortis Hospitals Limited, Sector - 44, Opposite HUDA City Centre, Gurugram",https://www.fmri.in/,,Private,YES,,24X7,28.456975,77.07299
597,Fortis Memorial Research Institute Blood Bank,Haryana,GURGAON,Gurugram,"Fortis Memorial Research Institute, Sector-44, Opposite HUDA City Centre, Gurgaon",,"MBBS, PHD, MBA",Private,YES,YES,24X7,28.456965,77.07297
598,"General Hospital Blood Bank, Gurugram",Haryana,GURGAON,Gurugram,"Near Bus Stand, Opposite MCG, Gurugram",,MD (Pathology),Government,NO,NO,24X7,28.511841,76.986694
599,Umkal Blood Bank,Haryana,GURGAON,Gurugram,"H-Block, Palam Vihar, Opposite To Chancellor Club
Near Chiranjiv Bharti Public school",,,Private,YES,,,0.0,0.0
600,VPS Rockland Hospital Blood bank,Haryana,GURGAON,Gurugram,"Plot No. 2, Sector 5, IMT Manesar, Gurugram
opposite Raheja square",,,Private,YES,,,0.0,0.0
601,"Columbia Asia Hospital - Palam Vihar, Blood Bank",Haryana,GURGAON,Gurugram,"Block F, Gol Chakkar, Near Ansal Plaza Mall, Palam Vihar, ",http://india.columbiaasia.com/hospitals/palam-vihar,,Private,,,,0.0,0.0
602,Paras Hospital Blood Bank,Haryana,GURGAON,Gurugram,"C-1 Sushant Lok- 1 Sector-43 Phase- I
",https://www.parashospitals.com/,,Private,YES,,,0.0,0.0
603,Nalwa Pathology and Microbiology Laboratory Blood Bank,Haryana,HISAR,Hisar,"SCF-83, Commercial UE-1, Red Square market",,MD (Microbiology),Private,YES,YES,24X7,29.157025,75.722428
604,Central Medical Centre (CMC) Hospital Blood Bank,Haryana,HISAR,Hisar,"Near Dabra Chowk Over Bridge, Hisar",http://cmchospitalhisar.com/,MD (Gynaecology),Private,NO,NO,24X7,29.140858,75.734103
605,Haryana Blood Bank,Haryana,HISAR,Hisar,"16, Model Town, NearJjindal Hospital ",,MBBS,Private,NO,NO,24X7,29.130234,75.74437
606,Manglam Blood Bank,Haryana,HISAR,Hisar,"No 139, NH10-Tosham Road Connection Road, New Model Town, Jindal Hospital Road, ",,,Private,YES,,24X7,29.131899,75.744839
607,Hisar Blood Bank,Haryana,HISAR,Hisar,Hisar,,,Private,,,,0.0,0.0
608,Dr. Anant Ram Janta Hospital Blood Bank,Haryana,HISAR,Hisar,"Hospital Road, Hisar, Barwala",,MBBS,Private,NO,NO,24X7,29.363162,75.901772
609,"National Blood Bank, Kharab Hospital Blood Bank",Haryana,HISAR,Hisar,"47, Near Budhla Sant Mandir, Rishi nagar, ",,MD (Pathology),Private,YES,NO,24X7,29.310977,76.344908
610,Sarvodaya Blood Bank services,Haryana,HISAR,Hisar,"Sravodaya Multi Speciality Hospital 
Opp. Red Cross Bhawan, Delhi Road, Hisar",http://sarvodayahealthcare.co.in/,,Private,YES,NO,24X7,29.1409,75.733801
611,General Hospital Blood Bank Hisar,Haryana,HISAR,Hisar,"Civil Hospital Blood Bank, Near Bus Stand ",,MD (Orthopedics)  ,Government,NO,NO,24X7,29.17,75.718602
612,"Maharaja Agrasen Medical College, Agroha, Blood Bank",Haryana,HISAR,Hisar/Agroha,Opp. Agroha Dham,http://www.mamc.edu.in/,,Government,YES,NO,24X7,29.336707,75.622627
613,General Hospital Blood Bank Jhajjar,Haryana,JHAJJAR,Jhajjhar,Model Town,,MD (Pathology),Government,NO,NO,24X7,28.607735,76.642891
614,General Hospital Blood Bank Jind,Haryana,JIND,Jind,"Civil Hospital, DC Colony",,MD (Microbiology),Government,NO,NO,24X7,29.311866,76.330022
615,National Blood Bank,Haryana,JIND,Jind,"Kharab Hospital, Gohana Road, Jind",,,Government,,,,0.0,0.0
616,Gangaputra Hospital and Research Centre Blood Bank,Haryana,JIND,Kandela,"Kaithal Road, Kandela",,MD (Pathology),Private,YES,YES,24X7,29.378281,76.337165
617,Smt. Indira Gandhi Government Multispeciality Blood Bank,Haryana,KAITHAL,Kaithal,"G. H. Sector-18, Bypass Road, Near bus stand, Kaithal By pass",,MD (Pathology),Government,NO,NO,24X7,29.793446,76.421959
618,Haryana Institute of Medical Sciences (HIMS) Hospital Blood Bank,Haryana,KAITHAL,Kaithal,"NH-152, Village-Ujhana, Ambala Road, Kaithal",,,Private,,,,29.844728,76.441361
619,Kapisthal Blood Bank,Haryana,KAITHAL,Kaithal,"Plot No. 11, Rishi Nagar, Kaithal
Karnal Road
",,,Private,NO,,,0.0,0.0
620,General Hospital Blood Bank Karnal,Haryana,KARNAL,Karnal,"Old Court Road, Karnal",,,Government,YES,NO,24X7,29.696067,76.994185
621,Nirmal Institute of Medical Sciences and Technology Blood Bank,Haryana,KARNAL,Karnal,"69, Jarnally Colony, Opposite Kalpana Chawla Medical College, Karnal.",,MSc Pathology and specialization in Hematalogy,Charity,YES,YES,24X7,28.4734936,77.2906064
622,Pandit Ram Prakash Hospital and Kidney Centre Blood Bank,Haryana,KARNAL,Karnal,"Civil Hospital Road, Karnal",,,Private,,,24X7,0.0,0.0
623,Save Life Blood Bank,Haryana,KARNAL,Karnal,"16, Jarnally Colony, 1st floor, Opposite to General Hospital, Karnal",,,Private,YES,,24X7,28.701048,77.103863
624,LNJP District Government Hospital Blood Bank ,Haryana,KURUKSHETRA,Kurukshetra," Thanesar, Kurukshetra, SH-6, Kaithal Kurukshetra Road, ",,MD (Pathology),Government,NO,NO,24X7,29.964985,76.820558
625,Kurukshetra Blood Bank,Haryana,KURUKSHETRA,Kurukshetra,"SCO.07-08 BASMENT,  Near LIC Building",,,Private,YES,,24X7,29.970016,76.838528
626,Adesh Blood Bank,Haryana,KURUKSHETRA,Kurukshetra,"NH - 1, Near Ambala Cantt., Village Mohri, TEHSIL. SHAHBAD (M)",http://amch.ac.in/,,Private,,,,0.0,0.0
627,Civil Hospital Narnaul ,Haryana,MAHENDRAGARH,Narnaul,"New Mohalla Mandi, Narnaul",,MBBS,Government,NO,NO,24X7,0.0,0.0
628,General Hospital Blood Bank Mandikhera,Haryana,MEWAT,Mandikhera,"Mandikhera, Mewat",,,Government,NO,,,0.0,0.0
629,Shaheed Hasan Khan Mewati Government Medical College Blood Bank  ,Haryana,MEWAT,Nuh,"Nalhar, Tehsil Nuh, Mewat",http://www.gmcmewat.ac.in/,,Government,NO,,24X7,28.091167,76.971562
630,Diamond Blood Bank LLT,Haryana,PALWAL,Palwal,"Om premia Hospital, 56 km Stone,NH-2, Delhi Mathura Road, Palwal, Faridabad",,"MBBS, DCP",Private,YES,YES,24X7,0.0,0.0
631,General Hospital Blood Bank Palwal,Haryana,PALWAL,Palwal,New Sohna Road,,MD,Government,NO,NO,24X7,28.136087,77.327024
632,Command Hospital Blood Bank,Haryana,PANCHKULA,Panchkula,"Chandimandir Cantonment, Panchkula",,,Government,,,,30.712615,76.854089
633,Alchemist Hospital Panchkula Blood Bank,Haryana,PANCHKULA,Panchkula,"Sector 21, Panchkula",http://www.alchemisthospitals.com/,MD (Pathology),Private,YES,YES,24X7,28.439332,77.10227
634,District Hospital Panchkula Blood Bank,Haryana,PANCHKULA,Panchkula,"Civil Hospital Blood Bank, Sector 6",,,Government,NO,NO,24X7,30.710793,76.845878
635,N.C. Medical College and Hospital Blood Bank,Haryana,PANIPAT,Israna,"N.C. Medical College and Hospital, Panipat-Rohtak Road, Israna, Panipat",,,Government,,,,29.286568,76.878961
636,Red Cross Blood Bank,Haryana,PANIPAT,Panipat,"Indian Red Cross Society, Red Cross Bhawan, G.T. Road",,"MBBS, DCP",Charity,NO,NO,24X7,29.39369,76.969115
637,Prem Blood Bank,Haryana,PANIPAT,Panipat,"A unit of Lala Harbhagwan Dass Memorial & Dr. Prem Hospital Pvt. Ltd., Bishan Sarop Colony, Opp Bus Stand, ",http://www.drpremhospital.com/,,Private,YES,YES,24X7,29.398644,76.966314
638,Bharat Blood Bank,Haryana,PANIPAT,Panipat,"467-D/4, West Press Colony, Near Bust Stand, Sukhdev Nagar",,MBBS,Charity,YES,YES,9am - 5pm,0.0,0.0
639,Panipat Blood Bank,Haryana,PANIPAT,Panipat,"332-R Model Town, Near Ramlal Chowk",,,Charity,NO,NO,24X7,29.391662,76.957172
640,Cygnus Maharaja Aggarsain Hospital Blood Bank,Haryana,PANIPAT,Panipat,"Desraj Colony,Devi Mandir Area",,,Private,YES,,,0.0,0.0
641,Rewari Blood Bank,Haryana,REWARI,Rewari,"Shree Krishna Medical And Social Welfare Society, 53-RL, Model Town",,MD (Pathology),Charity,YES,YES,24X7,28.187832,76.616935
642,General Hospital Rewari Blood Bank,Haryana,REWARI,Rewari,"Room No. 16, Government / Civil Hospital Blood Bank,  
Kayasthwara Mohalla, ",,MBBS,Government,NO,NO,24X7,28.202218,76.619789
643,Bharti Blood Bank,Haryana,REWARI,Rewari,Rewari,,,Private,,,,0.0,0.0
644,Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences (PGIMS) Blood Bank,Haryana,ROHTAK,Rohtak,"Medical Road, Maharishi Dayanand University,
Rohtak",http://pgimsrohtak.nic.in/,,Government,YES,YES,24X7,28.879942,76.608052
645,General Hospital Blood Bank Sirsa,Haryana,SIRSA,Sirsa,"Room No 25, G.H Sirsa, Near Jhunthra Dharmsala Sirsa",,MD (Pathology),Government,NO,NO,24X7,29.538977,75.014269
646,Shiv Shakti Blood Bank,Haryana,SIRSA,Sirsa,"Guru Gobind Singh Marg, B Block,Opposite to Valmiki Chowk",,"MBBS, DCH",Charity,YES,NO,24X7,29.536432,75.022062
647,Bapu Maghar Singh Ji International Blood Bank,Haryana,SIRSA,Sirsa,"Shah Satnam Singh Ji Speciality Hospital, 
Nohar Bhadra Road,Shahpur Begu, Near Shah Satnam Ji Dham, Dera Sacha Sauda",http://www.ssjsh.com,MBBS,Charity,YES,YES,24X7,29.467914,75.068864
648,Bapu Maghar singh ji,Haryana,SIRSA,Sirsa,Sirsa,,,Charity,,,,0.0,0.0
649,General Hospital Blood Bank Sonipat,Haryana,SONIPAT,Sonipat,"Delhi Road, Near Maharana Pratap Chowk",,MD (Pathology),Government,NO,NO,24X7,28.990486,77.036475
650,Sonipat Blood Bank,Haryana,SONIPAT,Sonipat,"Near Saxsena Hospital, Sector-14
TO Scheme No. -15",,,Charity,NO,NO,24X7,28.991527,77.034557
651,Bhagat Phool Singh Government Medical College for Women Blood Bank,Haryana,SONIPAT,Sonipat,"Kanpur Kalan, Sonipat",,MD (Pathology),Government,YES,YES,24X7,29.149774,76.808336
652,Shree MAA Blood Bank,Haryana,YAMUNANAGAR,Jagadhri,"1st Floor, Goel Hospital, Jagadhri, Yamunanagar.
Opp Sapphire hotel, railway road, Near Krishna Bajaj auto agency",,,Private,YES,NO,24X7,30.147696,77.304339
653,MLGH Trauma Centre Yamuna Nagar Blood Bank ,Haryana,YAMUNANAGAR,Yamunanagar,"Civil Hospital Blood Bank, Jagadhari, Above Trauma Center, 
Yamunanagar",,MD (Pathology),Government,YES,NO,24X7,30.1442,77.303543
654,Bilaspur Regional Hospital Blood bank,Himachal Pradesh,BILASPUR,Bilaspur,"Changer Sector Bilaspur, Near D.C.Office Bilaspur",,MD (Dermatology),Government,NO,NO,24X7,31.335735,76.765248
655,Chamba Regional Hospital Blood Bank ,Himachal Pradesh,CHAMBA,Chamba,"Regional Hospital, Chamba",,MBBS,Government,NO,NO,24X7,32.558834,76.12246
656,Bhota Charitable Hospital Blood Bank,Himachal Pradesh,HAMIRPUR,Bhota,Hamirpur,,MBBS,Charity,NO,NO,24*7,31.609374,76.569182
657,Hamirpur Regional Hospital Blood bank,Himachal Pradesh,HAMIRPUR,Hamirpur," Agriculture Colony, Hamirpur,",,MBBS,Government,NO,NO,,31.679905,76.527416
658, Dharamshala Zonal Hospital Blood Bank,Himachal Pradesh,KANGRA,Dharamshala,"Zonal Hospital, Dharamshala",http://www.zhdharamshala.in/,MBBS,Government,NO,NO,24X7,32.2129086,76.3194044
659,Dr Rajendra Prasad Government Medical College (RPGMC) Blood Bank Tanda,Himachal Pradesh,KANGRA,Kangra,"Dr. Rajendra Prasad Government Medical College, Kangra at Tanda",,MD (Pathology),Government,YES,NO,24X7,32.0982738,76.3007658
660,"Military Hospital,Yol Cant, Kangra",Himachal Pradesh,KANGRA,Kangra,"Yol Cantt, Kangra",,MD (Pathology),Government,NO,NO,24X7,0.0,0.0
661,Civil Hospital Blood Bank Palampur,Himachal Pradesh,KANGRA,Palampur,"Civil Hospital, Palampur, Kangra",,,Government,NO,NO,24X7,32.107726,76.534876
662,Reckong Peo Regional Hospital Blood Bank ,Himachal Pradesh,KINNAUR,Reckong Peo,"Reckong Peo, Kinnaur, Himachal Pradesh
",,MBBS,Government,NO,NO,24*7,31.539316,78.267034
663,Kullu Regional Hospital Blood Bank ,Himachal Pradesh,KULLU,Dhapur,"R.No. 320, Kullu Regional Hospital ",,MBBS,Government,NO,NO,24X7,31.956462,77.111661
664,Netaji Subhash Chander Bose Zonal Hospital Blood Bank,Himachal Pradesh,MANDI,Mandi,"Netaji Subhash Chander Bose Zonal Hospital, Mandi",,MD (Pathology),Government,YES,NO,24X7,31.711561,76.927209
665,Rohru Civil Hospital Blood Bank ,Himachal Pradesh,SHIMLA,Rohru,"Rohru, Shimla",,,Government,NO,NO,24X7,31.201285,77.752272
666,Indira Gandhi Medical College Blood Bank Shimla,Himachal Pradesh,SHIMLA,Shimla,"Department of BT and IH, Indira Gandhi Medical College, 
Near Lakkar Bazar",,MD (Microbiology),Government,YES,NO,24X7,31.1071605,77.1831203
667,Deen Dayal Updhayay Hospital Blood Bank,Himachal Pradesh,SHIMLA,Shimla,"DDU Complex, Shimla",,MD (Microbiology),Government,NO,NO,9:30 am to 8pm,31.103536,77.17218
668,Kamla Nehru Hospital Blood Bank,Himachal Pradesh,SHIMLA,Shimla,"Kamla Nehru Hospital, NH-22, Near Mall Road",,MBBS,Government,NO,NO,24X7,31.096648,77.175267
669,Mahatma Gandhi Medical Services Blood Bank Rampur,Himachal Pradesh,SHIMLA,Shimla,"Mahatma Gandhi Medical Services Blood Bank Rampur,
Near Jakh Institute of Nursing",,MBBS,Government,NO,NO,24X7,31.4470213,77.6294213
670,Nahan Regional Hospital Blood Bank ,Himachal Pradesh,SIRMAUR,Nahan,"Regional Hospital, Nahan ",,MBBS,Government,NO,NO,24X7,30.559933,77.295483
671,Malhotra Super Speciality Hospital Blood Bank ,Himachal Pradesh,SOLAN,Baddi,"(A Unit of Malhotra Clinics Private Limited), SCO No. 8, Himuda Bhatoli Kalan, Opp.- Mahavir Spinning Mills, Baddi",,MBBS,Private,YES,NO,24*7,30.9491629,76.8319738
672,Maharishi Markendeshwar Medical College and Hospital Blood Bank,Himachal Pradesh,SOLAN,Lado,"LADO, Sultanpur Road, Kumarhatti, Solan
",,,Charity,YES,NO,24X7,30.8713445,77.0863049
673, Solan Regional Hospital Blood Bank,Himachal Pradesh,SOLAN,Solan,"Regional Hospital, Near Lakkar Bazar, Tank Road",,MBBS,Government,NO,NO,24X7,30.90738,77.107075
674,Una Regional Hospital Blood Bank ,Himachal Pradesh,UNA,Una,"Regional Hospital, Una",,MD (Pathology),Government,NO,NO,24X7,31.4785791,76.2741605
675,MMAB memorial District Hospital  Blood Bank Anantnag,Jammu and Kashmir,ANANTNAG,Anantnag,"MMAB memorial Blood Bank, Janglat Mandi, District Hospital, Anantnag",,,Government,NO,NO,24X7,33.7253569,75.153155
676,Baramulla District Hospital Blood Bank,Jammu and Kashmir,BARAMULLA,Baramulla,"District Hospital, Kanthbagh, Baramulla",,MBBS,Government,NO,NO,24*7,34.2031312,74.3654033
677,Chodana Sub-District Hospital Blood Bank,Jammu and Kashmir,Budgam, Budgam ,"Sub-District Hospital, Chadoora, Budgam",,,Government,NO,NO,24*7,33.9429341,74.7993502
678,Budgam District Hospital Blood Bank ,Jammu and Kashmir,Budgam,Budgam ,"ASYM District Hospital Campus, Near District Court Complex",,MBBS ,Government,NO,NO,24*7,34.020827,74.719824
679,Doda District Hospital Blood Bank ,Jammu and Kashmir,DODA,Doda,"District Hospital, Doda",,MD (Pathology),Government,NO,NO,24X7,33.144377,75.543698
680,District Hospital Blood Bank Ganderbal ,Jammu and Kashmir,GANDERBAL,Ganderbal,Ganderbal,,,Government,,,,34.1944531,74.652155
681,Government Hospital Blood Bank Gandhi Nagar,Jammu and Kashmir,JAMMU, Jammu ,"Government Hospital, Gandhi Nagar, Jammu",,Lab Technician ,Government,NO,YES,24X7,32.705277,74.859974
682,Government Medical College and Hospital Blood Bank,Jammu and Kashmir,JAMMU,Jammu ,"Government Medical College and Hospital, Mahesh Pura Chowk, Bakshi Nagar",http://www.gmcjammu.nic.in,"MBBS, DCP, MD",Government,NO,YES,24X7,32.736061,74.853998
683,Sri Maharaja Gulab Singh (SMGS) Hospital Blood Bank,Jammu and Kashmir,JAMMU,Jammu ,"Shalamar Road, Indra Chowk, Jammu",http://gmcjammu.nic.in/smgs.aspx,"MBBS, MD (Pathology)",Government,YES,NO,24X7,32.733578,74.862023
684,Bee Enn General Hospital Blood Bank,Jammu and Kashmir,JAMMU,Jammu ,"Garden Avenue, Bhagwati Nagar, Talab Tillo, Jammu",http://www.beeenngroup.com/,,Charity,,,24X7,32.7297174,74.8411347
685,Sainik Asptal Blood Bank Satwari,Jammu and Kashmir,JAMMU,Satwari,"166, Military Hospital, C/o. 56 APO",," MBBS, MD (Microbiology) ",Government,NO,NO,,0.0,0.0
686,Acharya Shri Chander College of Medical Sciences and Hospital Blood Bank,Jammu and Kashmir,JAMMU,Sidhara,"Acharya Shri Chander College of Medical Sciences and Hospital, N.H ByPass P.O Majeen",,,Charity,YES,,,32.760493,74.898955
687,Kargil District Hospital (Kargil Ladakh Kashmir Division) Blood Bank ,Jammu and Kashmir,KARGIL,Kargil ,"District Hospital, Kargil Ladakh Kashmir Division, Jammu and Kashmir",,"MBBS, Diploma in Pathology ",Government,NO,NO,24*7,34.559251,76.124874
688,Kathua District Hospital Blood Bank ,Jammu and Kashmir,KATHUA,Kathua ,"District Hospital, Kathua ",,"MBBS, PG (Transfusion Medicine)",Government,NO,NO,,32.390815,75.5252
689,Kishtwar District Hospital Blood Bank  ,Jammu and Kashmir,KISHTWAR,Kishtwar ,"District Hospital, Near Bus stand Kishtwar.",,"MBBS, DCP",Government,NO,NO,24X7,33.3139274,75.7681239
690,Kulgam District Hospital Blood Bank ,Jammu and Kashmir,KULGAM,Kulgam ,"Kulgam Quzigund Road, opposite to Fruit mandi Kulgam",,MBBS,Government,NO,NO,24*7,33.645305,75.026719
691,Handwara District Hospital Blood Bank,Jammu and Kashmir,KUPWARA,Handwara,"Handwara Hwy, Shaheen Colony, Durashpora, Handwara",,,Government,NO,NO,24*7,34.396437,74.284765
692,General Hospital Blood Bank,Jammu and Kashmir,LEH LADAKH,Leh,"153, General Hospital, C/o. 56 APO, Leh Ladakh ",,,Government,,,,0.0,0.0
693,SNM Hospital Blood Bank,Jammu and Kashmir,LEH LADAKH,Leh ,"SNM Hospital, Main Bazar, Leh",,MD (Pathology),Government,NO,NO,24X7,34.153795,77.580209
694,Raja Sukhdev Singh District Hospital Poonch,Jammu and Kashmir,POONCH,Haveli,"District Hospital, Poonch",,,Government,NO,NO,24X7,33.772293,74.098062
695,Pulwama District Hospital Blood Bank ,Jammu and Kashmir,PULWAMA,Pulwama,"District Hospital, Pulwama",,"MBBS, Fellowship in Transfusion Medicine ",Government,NO,NO,24*7,33.878861,74.900779
696,General Hospital Blood Bank (Army),Jammu and Kashmir,RAJOURI, Rajouri ,"150, General Hospital, Rajouri",,"MBBS, MD (Pathology) ",Government,NO,NO,24X7,0.0,0.0
697,Rajouri District Hospital Blood Bank ,Jammu and Kashmir,RAJOURI,Rajouri,"District Hospital,  kheora, Rajouri
",,,Government,NO,YES,24X7,33.3880811,74.316008
698,Ramban District Hospital Blood Bank ,Jammu and Kashmir,RAMBAN,Ramban,"NH1A, Upper Bazaar, Ramban,",,,Government,NO,NO,24X7,33.2420569,75.2392611
699,District Hospital Blood Bank Sambha ,Jammu and Kashmir,SAMBA,Samba,"District Hospital, Near Sabzi Mandi, Samba",,,Government,,,,32.560515,75.120911
700,District Hospital Blood Bank Shopian ,Jammu and Kashmir,SHOPIAN,Shopian,Shopian,,,Government,,,24X7,33.7200624,74.8338034
701,Shri Maharaja Hari Singh (SMHS) Hospital Blood Bank,Jammu and Kashmir,SRINAGAR, Srinagar ,"SMHS Road, Near Gold Market, Karan Nagar, Srinagar, ",,MD (Pathology),Government,YES,YES,24X7,34.0862001,74.7977402
702,92 Base Hospital Blood Bank,Jammu and Kashmir,SRINAGAR, Srinagar            ,"92 Base Hospital, C/o. 56 APO,  Badami Bagh, Srinagar",,"MBBS, MD (Pathology)",Government,NO,NO,24X7,34.06591,74.856181
703,Sher-I-Kashmir Institute of Medical Sciences (SKIMS) Blood bank,Jammu and Kashmir,SRINAGAR,Srinagar ,"Sher-I-Kashmir Institute of Medical Sciences (SKIMS), 
Anchar, Soura, Srinagar",http://www.skims.ac.in/,,Government,YES,YES,24X7,34.136677,74.800264
704, Government Lal Ded Hospital Blood Bank,Jammu and Kashmir,SRINAGAR,Srinagar            ,"Wazirbagh, Srinagar GPO, Srinagar",http://www.gmcs.edu.in,"MD (Medicine), Trained Haematologist & Transfusion Specialist AIIMS  Delhi",Government,YES,NO,24X7,34.0667492,74.8081809
705,Government Bone and Joint Surgery Hospital Blood Bank,Jammu and Kashmir,SRINAGAR,Srinagar ,"Government Bone and Joint Surgery Hospital, Near Barzulla bridge, Srinagar",,MBBS,Government,NO,NO,24X7,34.0481,74.80522
706,Jawahar Lal Nehru Memorial Hospital Blood Bank,Jammu and Kashmir,SRINAGAR,Srinagar ,"Jawahar Lal Nehru Memorial Hospital Blood Bank, Rainwari, Srinagar",,MD (Haematology & Transfusion Medicine),Government,NO,NO,24X7,34.097759,74.821651
