Sr No, Blood Bank Name, State,Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Email Nodal Officer, Category, Apheresis, License #, Date License Obtained, Date of Renewal, Latitude, Longitude
249,Sadar Hospital Muzaffarpur Blood Bank,Bihar,842001,"0625-2266055, 0625-2266056",,,,bloodbanksadarhospitalmu21@gmail.com,,,Government,NO,83(N)2004,16.04.2004,A/F,0.0,0.0
250,Sinha Blood Bank Muzaffarpur,Bihar,842001,0621 2216140,9693250208,,,sinhabloodbank.muzafferpur@gmail.com,,,Charity,,BR-04(N)2015,24.04.2015,23.04.2020,0.0,0.0
251,Sri Krishna Medical College Hospital (SKMCH) Blood Bank ,Bihar,842004,0621 2233033,"099342 03205, 09431238638, 09934026607",,,bloodbankskmchmuzaffarpur@gmail.com,,vermapc@gmail.com,Government,NO,BR-05(N)15,8/9/2015,7/9/2020,26.167644,85.392082
252,Krishna Devi Devi Prasad Kejriwal Maternity Hospital Blood bank,Bihar,842001,0621 2216309;2216410 ,"09798454101, 09334905659",,0621 2247702 ,"kdmsadan@yahoo.co.in, ranjanraj660@gmail.com",,kdmsadan@yahoo.co.in,Charity,,,,,0.0,0.0
253,Sadar Hospital Muzaffarpur Blood Bank,Bihar,842001,,9431013092,,,,,bloodbanksadarhospitalmuz1@gmail.com,Government,,83(N)/04,16-04-2009,15-04-2009,26.122253,85.382562
254,Nalanda Blood Bank (A Unit of Janata Karah Kalyan Samaj),Bihar,803101,"06112230856, 06112688765","096933 67443, 09835494030",,,"nalandabloodbankcmb@gmail.com, jantakarah@rediffmail.com",,adcajaykr@gmail.com,Charity,,BR-127 (N) /07,05.12.2007,04.12.2012,0.0,0.0
255,"Red Cross Blood Bank, Sadar Hospital, Bihar Sharif",Bihar,803101,,9709456019,,,bbshbiharsharifnalanda@gmail.com,,drmanoj184@gmail. com,Charity,,55(N)-03,08.08.2003,07.08.2018,25.20523,85.514552
256,Sadar Hospital Nawada Blood Bank ,Bihar,805110,,,,,bbnawada@gmail.com,,dr.bbsinghnawada@gmail.com,Government,,BR-04(N) BL/09,11/6/2009,10.06.2014,0.0,0.0
257, Hitech Emergency Hospital Blood Bank ,Bihar,801503,0612 3262107,"08102262107,09708036409, 09708036576",,,"bbhitechemergency@gmail.com, hitechhospitalpatna@gmail.com",http://hitechemergencyhospital.com/,bbhitechemergency@gmail.com,Private,,BR-08 (N) B/11,8/8/2011,7/8/2016,0.0,0.0
258,Bharat Blood Bank,Bihar,800003,0612 2675213,093341 51682,,,bharatbloodbank0612@gmail.com,,"bharatbhushan52@gmail.com, sraj26sonu@gmail.com",Private,,1449/00,20-07-2000,31-12-2001,0.0,0.0
259,Kurji Holy Family Hospital Blood Bank,Bihar,800010,"0612 2252156, 0612 2264117, 0612 2262540",9430254273,,0612 2268374,"khfhosp@gmail.com, docmk_2002@yahoo.co.in",http://www.kurjiholyfamilyhospital.org/,khfhosp@gmail.com,Charity,,645/85,14-09-2011,13.9.2016,0.0,0.0
260,National Blood Bank & Resarch Center,Bihar,800020,0612 2355575,"09931764857, 09939679116",,,nbb_rs@rediffmail.com,,nbb_rs@rediffmail.com,Private,,1506/01,29-09-2001,31-12-2012,0.0,0.0
261,Nalanda Medical College and Hospital Blood Bank,Bihar,800007,0612-2918523/2631159,,,0612-2354871,"subir.kumar85522@gmail.com, nmcpatna@gmail.com, nmc_patna@yahoo.com",http://nmchpatna.org/,,Government,NO,1515/2002,2018,14/12/2015,25.594095,85.137565
262,Military Hospital Blood Bank,Bihar,801503,,,,,,,,Government,,1497/01,21-08-2001,,0.0,0.0
263,Lions Mahavir Cancer Sansthan Blood Bank,Bihar,801505,"0612 2250127, 0612 2253956 (Ext. Blood Bank - 400)","07091490890, 09431422042",,,"mcspatna98@gmail.com, subodh43@hotmail.com",,subodh43@gmail.com,Charity,,35(N)/03,29-03-2003,28-03-2008,0.0,0.0
264,Tripolia Social Service Hospital and Blood Bank,Bihar,800007,0612 2311065,,,,tripoliahospital@yahoo.com,,,Private,,,,,0.0,0.0
265,Shashi Blood Bank,Bihar,800004,0612 2303365,9334198720,,,,,,Private,,1386/99,14.04.99,31.12.12,0.0,0.0
266,Patliputra Blood Bank,Bihar,800004,0612 2300840,9334128177,,,patliputrabloodbank@gmail.com,,patliputrabloodbank@gmail.com,Private,,1450/00,14-12-2000,31-12-2011,0.0,0.0
267,Bihar State Patna Medical College and Hospital (PMCH) Blood Bank,Bihar,800004,0612 2300334,,,,biharstatebloodbank@gmail.com,,drupsinha@yahoo.co.in,Government,,1261/97,09.06.1997,31.12.17,25.619794,85.158851
268,Indian Red Cross Society (IRCS) Patna Blood Bank,Bihar,800001,0612 2201035,,,,biharircs@gmail.com,,biharircs@ymail.com,Charity,,BR-110(N) AL/09,30-06-2011,29-06-2016,25.619909,85.145263
269,Jaiprabha Hospital Model Blood Bank (MBB),Bihar,800020,0612 2355805,9431619736,,,rajeshchandragupta1982@gmail.com,,modelbloodbankpatna@gmail.com,Government,,97(N)/05,16-09-2005,15-09-2010,25.60017,85.152281
270,Palm View Hospital Blood Bank,Bihar,800014,,8968639027,,,pvbb999@gmail.com,http://palmviewhospital.org/,pvbb999@gmail.com,Private,,96/N/05,13-04-2005,12.04.2010,0.0,0.0
271,Lions Jeewan Blood Bank ,Bihar,800020,"0612 2365814, 0612 2345895",,,,info@jeevakhospital.com,,drsanjay1@live.com,Charity,NO,98 (N) / 05,22-09-2005,21-09-2010,0.0,0.0
272,Paras HMRI Hospital Blood Bank,Bihar,800014,"06127107828, 0612 710770 (Ext. 7828)",,0612-710 7700,0612-710 7836,rakesh.ranjan@parashospitals.com,https://www.parashospitals.com/paraspatna/,drsantanu@parashospitals.com ,Private,,BR/02(N)/2014,13.05.2014,12.05.2019,0.0,0.0
273,Indira Gandhi Institute of Medical Sciences (IGIMS) Blood Bank ,Bihar,800014,"0612 2297631, 0612 2297099 (Ext - 125) ","08544413216, 09471665716",,,igimsbloodbank@gmail.com,,shaileshgar@yahoo.com,Government,,1517/02,24.06.2002,23-06-2018,25.611687,85.089567
274,Life Line Blood Bank,Bihar,800004,0612 2301600 ,9234990509,,,lifelinebloodbank99@gmail.com,,lifelinebloodbank99@gmail.com,Private,,1345/99,01.01.2003,31.12.2012,0.0,0.0
275, Vaatsalya Blood Bank,Bihar,800001,"0612 2275657, 0612 2277528",9304028101,,0612-2276332,vaatsalyabloodbank@rediffmail.com,,drmanoramamishra@gmail.com,Charity,NO,BR-03(N)2015,28.04.2015,27.04.2020,0.0,0.0
276,Paras Hmri Hospital Blood Bank,Bihar,800014,0612 7107777,,,,,,,,,,,,0.0,0.0
277,Ruban Memorial Hospital Blood Bank,Bihar,800013,"0612 2270097, 0612 2270059",8406003104,,,"info@rubanpatliputrahospital.com, projectruban@gmail.com",,aks1953@hotmail.com,Private,,BR-02(N) 2015,24-04-2015,23-04-2020,0.0,0.0
278,Jeevan Rekha Blood Bank,Bihar,800014,,"09334123578, 09334978582, 09334123518",,,anshulpalm@gmail.com,,rajeevbloodbank@gmail.com,Charity,,BR-01(N)2015,13-03-2015,2/12/2020,0.0,0.0
279,Indian Red Cross Society (IRCS) Blood Bank,Bihar,854301,0654 244211,"09431025636, 09430970469, 09431268348, 09934559934",,,redcrosspurnea23@gmail.com,,,Charity,,901/90,29.06.1990,31.12.1991,25.785486,87.488251
280,Sadar Hospital Purnia  Blood Bank ,Bihar,854301,," 09939213483, 09431268348, 09334510634, 0943127662",,,bloodbankpurniasadar@gmail.com,,bloodbankpurniasadar@gmail.com,Government,NO,75(N)/2004,14-02-2004,14-02-2014,25.778234,87.472456
281,Bose Clinic Blood Bank,Bihar,821307,06184 25009,9470007662,,,bose.diagnostic.centre@gmail.com,,bosebbdehri124@gmail.com,Private,,1507/01,05.10.2001,31.12.2007,0.0,0.0
282,Sadar Hospital Sasaram Blood Bank,Bihar,821115,6184227105,,,,bloodbanksadarhospitalssm@rediffmail.com,,bloodbanksadarhospitalssm@rediffmail.com,Government,NO,BR01(N)BL/09,11.06.2009 to 10.06.2014,11.06.2014 to 10.06.2019,24.952782,84.013897
283,Narayana Medical College and Hospital Blood Bank,Bihar,821305,06184 281888,"08405003052, 09431422803",,,"bloodbank.nmch@gmail.com, narayanmedical@gmail.com",http://nmch.ac.in/,"bloodbank.nmch@gmail.com, narayanmedical@gmail.com",Charity,,01 (N) BL/09,15.11.2011,14.11.2016,0.0,0.0
284,Micro Blood Bank Sasaram,Bihar,821115,06184 226371 ,9771022515,,,"kumarspatel1975@gmail.com, microbloodbanksasaram@gmail.com",,dhrm2006@rediffmail.com,Private,,9(N)-02,28.04.2002,28.04.2007,0.0,0.0
285,Sadar Hospital Saharsa Blood Bank ,Bihar,852201,,9934712522,,,bloodbanksaharsa@gmail.com,,bloodbanksaharsa@gmail.com,Government,,1462/2000,20-12-2000,31-12-2001,25.88715,86.590953
286,Indian Red Cross Society (IRCS) Samastipur Blood Bank ,Bihar,848101,,"09934296282, ",,,bbircssamastipur@gmail.com,,ircsbbsamastipur@gmail.com,Charity,,29(N)-02,21.07.2006,20.07.2011,0.0,0.0
287,Sadar Hospital Samastipur Blood Bank ,Bihar,848101,06274 222 331,"09661958888, 08051788761",,,bbsamastipur@gmail.com,,drvijayverma@gmail.com,Government,,BR/112(N)/AL,21-07-2006,20-07-2011,25.857206,85.778507
288,Sadar Hospital Chhapra Blood Bank ,Bihar,841301,,078709 44325,,,bloodbankchapra@gmail.com,,sadarhospital.cpr@gmail.com,Government,NO,1325/98,16/9/1998,31/12/2016,25.781723,84.73066
289,Sadar Hospital Sheikhpura Blood Bank,Bihar,811105,"06341 225172,  06341 225013",9631805193,,,dhsheikhpura@gmail.com,,,Government,NO,,,,25.133195,85.841424
290,Sadar Hospital Sitamarhi Blood Bank,Bihar,843302,,9473264433,,,bloodbanksitamarhi@gmail.com,,bloodbanksitamarhi@gmail.com,Government,NO,74(N)/04,20-02-2004,applied for renewal 2009-13 and 2014-19,26.596243,85.494747
291, Sadar Hospital Siwan Blood Bank,Bihar,841226,,"082940 84226, 09431284168",,,siwanbloodbank@gmail.com,,anilsingh1910@gmail.com,Government,,1513/01,26-12-2001,31-12-2002,26.226162,84.361845
292,P.N.H Mahatma Budh Educational and Research Centre Blood Bank ,Bihar,841226,06154 245245,"09852032870, 09430523283",,,jitesh000123@gmail.com,,bloodbankpnhsiwan24@gmail.com,Charity,,BR-01(N) /2014,05.05.2014,04.05.2019,0.0,0.0
293,Sadar Hospital Hajipur Blood Bank ,Bihar,8441010,,"09473191934, 09279220893",,,,,shbbhajipur36@gmail.com,Government,,1518/02,13.12.2002,31.12.2003,25.690268,85.208265
294,Maharani Janki Kunwar (MJK) Hospital Blood Bank,Bihar,845438,,,,,bb2bth@gmail.com,,bb2bth@gmail.com,Charity,,66(N)/03,14-11-2003,13-11-2008,26.796929,84.500903
295,"Department of  Transfusion Medicine, PGIMER Blood Bank",Chandigarh,160012,0172 2756481 ,7087009481,,0172 2744401,transfusionmed63@gmail.com,http://www.pgimer.edu.in,neelam2918@yahoo.com,Government,YES,59-90/MB,17.07.1991,31.12.2017,30.765913,76.775488
296,Rotary and Blood Bank Society Resource Centre,Chandigarh,160036,0172 2696057 ,9878707711,9501037379,0172 4647737,rbbsrc_mks@yahoo.co.in,http://rbbsrc.org,bloodcentrechandigarh@gmail.com,Charity,NO,95/MB/2004,17.06.2004,"31.05.2014  (Renewal awaited from Drug Controller ,GOI)",30.74211,76.755138
297,Government Medical College and Hospital Blood Bank ,Chandigarh,160032,"0172 2665253, 0172 2601023 (Extn. 1166)",9646121669,0172 2665253,0172 2608488,tmgmch@gmail.com ,http://www.gmch.gov.in,rkbedi15@yahoo.com,Government,YES,87/96/MB,10.12.1996,22.08.2018,30.709289,76.780536
298,Government Multispeciality Hospital Blood Bank,Chandigarh,160016,0172 2701288,7837318512,,,bloodbankgmsh16@gmail.com,,simerjit.gill@rediffmail.com,Government,NO,7694/MB,22/9/1994,31/12/2016,30.751021,76.780967
299,District Hospital Blood Bank Baloda Bazar,Chhattisgarh,,,,,,,,,Government,2,,,,0.0,0.0
300,Maharani Hospital Blood Bank ,Chhattisgarh,494001,07782-225958,,,,blooldbankjagdalpur@gimail.com,,sachin.579@rediffmail.com,Government,NO,28-C/46/97,06.08.1997,31.12.2007,19.085071,82.023963
301,District Hospital Blood Bank Bemetara,Chhattisgarh,,,,,,,,,Government,2,,,,0.0,0.0
302,District Hospital Blood Bank Bijapur,Chhattisgarh,,,,,,,,,Government,2,,,,0.0,0.0
303,Chhattisgarh Insititute of Medical Sciences (CIMS) Blood Bank ,Chhattisgarh,495001,"07752221425, 077522 30030",9977833811,,,bloodbankcimsbilaspur@gmail.com,http://cimsbilaspur.ac.in/,bloodbankcimsbilaspur@gmail.com,Government,NO,CG/28-C/7/2007,2/11/2007,1/11/2012,22.087621,82.152265
304,Bilaspur District Hospital Blood Bank ,Chhattisgarh,495001,07752 421898,,,,,,"kumarkantjaiswal@gmail.com, civilsurgeondistricthospitalbilaspur@gmail.com ",Government,NO,CG/21-C/19/2012,20-02-2012,19-03-2017,22.074225,82.158399
305,Meghani Blood Bank Bilaspur,Chhattisgarh,495001,,,,,,,,Private,,license cancelled,,,0.0,0.0
306,Apollo Hospital Blood Bank ,Chhattisgarh,495001,07752 248300 - 1030/31,9755597380,7752651066,7752409999,drprernamohan@gmail.com,,drprernamohan@gmail.com,Private,YES,28-C/7/2002,23-06-2002,31-12-2016,22.087007,82.177637
307,"Shri Rawatpura Sarkar Lok Kalyan Trust, Bilasa Blood Bank ",Chhattisgarh,495001,7752656422,9425211913,,,bbbbilaspur@gmail.com,,"bbbbilaspur@gmail.com, mitrajai786@gmail.com, ",Charity,NO,CG/28-C/5/2007,29-06-2007,28-06-2012,22.086695,82.152539
308,Ekta Blood Bank,Chhattisgarh,495001,,9644108882,9644108882,,ektabloodbank@gmail.com,,s.k.gidwani@gmail.com,Charity,NO,CG/28-C/14/2010,5/3/2013,4/3/2018,22.078658,82.145069
309,NMDC Apollo Hospital Blood Bank,Chhattisgarh,494553,07857 230050,,07857 230310 / 550,07857 230050,nmdcapollo@gmail.com,,"drmoinul786@gmail.com, nmdcapollo@gmail.com ",Government,NO,28-C/1/2003,09.09.2003,08.09.2013,18.703695,81.248612
310,District Hospital Blood Bank Dantewada,Chhattisgarh,494449,07856 252830 ,"09425517375, 09964858473",8878736600,,,,priyanka.devagari@gmail.com,Government,NO,CG/28-C/4/2007,27.02.2007,26.02.2012,18.89362167,81.3504983
311,NMDC Project Hospital Blood Bank,Chhattisgarh,494556,7857255229,,,,"purnimapatel@nmdc.co.in, mesalil73@rediffmail.com",https://www.nmdc.co.in,"salilsrivastava@nmdc.co.in, mesalil73@rediffmail.com",Government,NO,CG/28-C/16/2010,1/7/2010,22-04-2015,18.634249,81.252895
312,Dhamtari District Hospital Blood Bank ,Chhattisgarh,493773,,9406015822,,,,,csdhamtari2012@gmail.com,Government,NO,CG/28-C/2/2006,1/6/2006,31-05-2016,20.707653,81.53949
313,Dhamtari Christian Hospital,Chhattisgarh,493773, 077222 40362,7697512234,,,,,"snetam@gmail.com, dchdhmtari@gmail.com",Private,NO,28-C/5/2002,21.06.2002,31.12.2011,20.718748,81.55154
314,B.S.R. Cancer Hospital,Chhattisgarh,490020,7884085100,9755098682,,,drmanjurk@gmail.com,,drmanjurk@gmail.com,Private,NO,28-C/2/2002,20.08.2002,31.12.2016,21.216312,81.322622
315,Chandulal Chandraker Memorial (C.C.M.) Medical College Blood Bank,Chhattisgarh,490024,0788 6006061,9993095032,,,cmbloodbank@gmail.com,http://www.cmmedicalcollege.com/new/index.php,cmbloodbank@gmail.com,Private,NO,CG/28-C/ 23/2015,30.01.2015,29.01.2020,21.251525,81.337451
316,M/s Shri Shankaracharya Blood Bank,Chhattisgarh,,,9893787838,,,,,,Charity,,,,,0.0,0.0
317,Durg District Hospital  Blood Bank,Chhattisgarh,491001,7882219888,8103071304,0788 2219888,,csdurg.cg@gmail.com,,csdurg.cg@gmail.com,Government,YES,28-C/5/96,10/9/1996,31-12-2016,21.187096,81.279227
318,J.L.N Hospital & Research Center  Blood Bank,Chhattisgarh,490009,0788 2856020,9407983537,0788 2219888,,jlnhrc@sail-bhilaisteel.com,http://www.sail.co.in,"mravindranath@sail-bhilaisteel.com, jlnhrc@sail-bhilaisteel.com",Government,NO,28-C/12/96,08.10.1996,31.12.2016,21.189732,81.316117
319,Chandulal Chandrakar Memorial Hopsital Blood Bank,Chhattisgarh,490001,,9993095031,,7882292712,,,cmbloodbank@gmail.com,Private,NO,CG28-C/1/2001,1/1/2013,31-12-2017,21.200246,81.322665
320,"Gayatri Blood Bank, Durg",Chhattisgarh,490001,,9425556825,,,,,,Private,,,License Cancelled- non functional,,0.0,0.0
321,Janjgir District Hospital Blood Bank ,Chhattisgarh,495668,,9926728493,,,csjanjgir@gmail.com,,,Government,NO,CG 28-C/32/ 2016,8/7/2016,31/12/2021,0.0,0.0
322,Jashpur District Hospital Blood Bank ,Chhattisgarh,496331,Purushottam Kunwar,9406450174,,7763223927,csdhjashpur@gmail.com,,dr.mamta1@gmail.com,Government,NO,CG-28C/30/2016,07.07.2016,06.07.2021,0.0,0.0
323,Kawardha District Hospital Blood Bank  ,Chhattisgarh,491995,"07741 235553, 07741 233413",9827495629,,,dhkawardha@gmail.com,,srchurendra34@gmail.com,Government,NO,CG/28-C/1/2006,24.04.2006,23.04.2011,22.036,81.221
324,Kanker District Hospital Blood Bank  ,Chhattisgarh,494334,7868241063,9424274432,,"07868 2415152, 07868 2415141, 07868 245210",districthospitalkankar@gmail.com,,districthospitalkankar@gmail.com,Government,NO,28-C/8/2002,09.10.2002,31.12.2006,20.264724,81.495155
325,"Indira Gandhi District Hospital Blood bank, Kobra",Chhattisgarh,495677,,"09589028750, 09406008183",,,korba_bloodbank@rediffmail.com,,"gsjatra@gmail.com, korba_bloodbank@reiffmail.com",Government,NO,28-C/6/2002,21.06.2002,31.12.2011,22.364,82.744
326,Nehru Centenary Hospital Blood Bank,Chhattisgarh,495452,"07815275309, 07815262456",9425534022,,7815275419,cmssecl.gevra@gmail.com,,rajeesh77r@gmail.com,Government,NO,28-C/1/2004,20.02.2004,31.12.2013,0.0,0.0
327,"Bilash Blood Bank,KORBA",Chhattisgarh,495677,7759644655,9907744410,"775,964,465,599,077,000,000,000,000,000",,sribbbkrb.1008@gmail.com,,radioassay.patho@gmail.com,Charity,NO,CG/28-C/08/ 08,29.10.2008,28.10.2013,22.358763,82.7203479
328,Lions Blood Bank,Chhattisgarh,,07759-246951,,,,korbalionsbloodbank@gmail.com ,,korbalionsbloodbank@gmail.com ,Charity,,,,,0.0,0.0
329,"Distrcit Hospital Baikunthpur Blood bank, Korea",Chhattisgarh,497335,,9425256793,,,,,"dhanendra241260@gmail.com, cskoreacg@gmail.com",Government,NO,CG/28-C/11/2009,4/2/2009,03.02.2014,23.26,82.562
330,Christian Hospital Blood Bank,Chhattisgarh,495334,775564003,9425225208,,,anilhenry@gmail.com,http://chmungeli.org/,anilhenry@gmail.com,Charity,NO,CG28-C/15/20009 ,29.08.2009,28.08.2014,22.070986,81.687633
331,Ramakrishna Mission Ashram Blood Bank,Chhattisgarh,494661,07781 252370,,,07781 252393,rkmvad.npr@gmail.com,http://www.rkmnarainpur.org/,vadnpr@gmail.com,Private,NO,CG/28-C/ 12/09,05.05.2009,04.05.2014,19.716626,81.229284
332,District Hospital Blood Bank Mahasamund,Chhattisgarh,493445,7723222203,9926190979,,0772 3222384,khileshchandrakar@rediffmail.com,,khileshchandrakar@rediffmail.com,Government,NO,28-C/1/2005,16.09.2005,31.12.2009,21.1193227,82.0743057
333,District Hospital Blood Bank Raigarh ,Chhattisgarh,496001,,9425572467,,,,,,Government,NO,28-C/11/97,25.02.1997,31.12.2012,0.0,0.0
334,O.P. Jindal Hospital & Research Centre Blood Bank ,Chhattisgarh,496001,07762 - 227034 (EXT: 43659),8827478256,,,"bldopjhrc@jspl.com, harsha.soni@jspl.com",,"harsha.soni@jspl.com, bldopjhrc@jspl.com",Private,NO,CG/28-C/ 17/2010,20.07.2010,19.07.2015,21.927279,83.359147
335,Sewa Blood Bank,Chhattisgarh,496001,07762 225400,,,,"sewabloodbank12@gmail.com, pranoybarik@gmail.com",,"sewabloodbank12@gmail.com, pranoybarik@gmail.com",Charity,NO,CG/28-C/25/2014,08.05.2014,07.05.2019,21.890931,83.3966244
336,"Dr B R Ambedkar Memorial Hospital, Model Blood Bank",Chhattisgarh,492001,0771 2890090,9826148884,0771 2890090,0771 2888481,modelbloodbankraipurcg@gmail.com,,drvkapse@yahoo.com,Government,YES,28-C/08/97,13-02-1997,21-12-2016,21.25076,81.639
337,Indian Red Cross Society Blood Bank,Chhattisgarh,492001,0771 2880111,9755549529,,,redcrossbloodbank2008@gmail.com,,drdharmvir.baghel@gmail.com,Charity,NO,28-C/3/2006,27.11.2006,26.11.2011,21.15,81.38
338,Thawait Blood Bank,Chhattisgarh,492001,0771 4221709,9300955368,,,ravi_7166@yahoo.co.in,,ravi_7166@yahoo.co.in,Private,NO,28-C/16/98,23.10.1997,22.10.2018,0.0,0.0
339,City Blood Bank,Chhattisgarh,492001,"07714032241, 07716460810",9827122374,,7716460810,drlanjewarmona@gmail.com,http://www.citybloodbank.com,drmanojlanjewar@gmail.com,Private,YES,28-C/4/2000,07.09.2000,31.12.2016,21.240907,81.620688
340,Sai Sahara Blood Bank,Chhattisgarh,492001,0771 2551050,9826604484,,,,,drnabendupathak@yahoo.co.in,Private,NO,28-C/3/02,05.08.2002,18.09.2018,21.251385,81.629642
341,Narayana Hrudayalaya MMI Blood Bank,Chhattisgarh,492001,0771 4210902 (Ext-928),9109972181,0771 4081106,,ajaykumar.thakur.dr@nhhospitals.org,http://www.narayanahealth.org,ajaykumar.thakur.dr@nhhospitals.org,Private,NO,CG28-C/02/2001,27.03.2001,31.12.2010,21.21327,81.65767
342,United Blood Bank,Chhattisgarh,492001,077124 32002,,,,,,,Private,,License Cancelled- non functional,,,0.0,0.0
343,SSD Blood Bank,Chhattisgarh,492001,"0771 2432511, 07712422980",9425501244,,,"ssdlab7@hotmail.com, ssdlab1@Yahoo.com",,ssdlab7@hotmail.com,Private,NO,28-C/4/2002,29.07.2002,31.12.2016,21.235832,81.652249
344,Chhattisgarh Blood Bank,Chhattisgarh,492001,"0771 4088109,  077130 60518",9827461640,,,toahan1979@rediffmail.com,,toshan1979@rediffmail.com,Private,NO,28-CG/6/2007,10.07.2007,09.07.2017,21.246825,81.61188
345,Bilasa Blood Bank,Chhattisgarh,492004,0771-4009304,7024109190,,0771-2222122,"bbbraipur@gmail.com, bbb.rscao@gmail.com",,"avilokitas@yahoo.com, bbb.rscao@gmail.com",Charity,NO,CG/28-C/07/ 08,29.10.2008,28.10.2013,21.25435,81.66339
346,Srishti Blood Bank,Chhattisgarh,492001,7354111119,"09301215539, 099810 10006",,,srishtibloodbank@gmail.com,,srishtibloodbank@gmail.com,Private,NO,CG/28-C/ 15/2010,28.04.2010,27.04.2015,21.247,81.656
347,Shree Narayana Hospital Blood Bank,Chhattisgarh,492001,0771 3001234,9827125333,,,dr.sunilkhemk@gmail.com,,dr.sunilkhemk@gmail.com,Private,NO,CG/28-C/ 18/2011,30.06.2011,29.06.2016,21.263533,81.649825
348,Rajdhani Blood Bank,Chhattisgarh,492001,"0771 2292120, 0771 2292130",9300052600,,,rbb.admryp@gmail.com,,rbb.admryp@gmail.com,Charity,NO,CG/28-C/ 20/2012,30.03.2012,29.06.2017,21.244963,81.630129
349,Evangelical Mission Hospital Blood Bank,Chhattisgarh,493114,07721 - 233599,9826939520,,,emhtilda@gmail.com,,,Private,NO,CG/28-C/21/2012,21-09-2012,20-09-2017,21.553982,81.79053
350,Raipur Institute of Medical Science,Chhattisgarh,492101,0771-3053060-88 (29 Lines),,,0771- 3053089,,https://rimsindia.ac.in/,vermacmo407@gmail.com,Charity,NO,CG/28-C/ 22/2013,07.08.2013,06.08.2018,21.263176,81.637035
351,Aashirwad Blood Bank,Chhattisgarh,492007,0771 4043768,9993096768,,,aashirwadblood@gmail.com,,drcchandrakar@gmail.com,Charity,NO,CG/28-C/24/2014,15.07.2014,14.07.2019,21.258245,81.66018
352,AIIMS Blood Bank,Chhattisgarh,,,8518881735,,,,,sunray2077@gmail.com,Government,,,,,0.0,0.0
353,Medical college& Hospital Blood Bank Rajnandgaon,Chhattisgarh,491441,,9425557320,,,blood bankrjn@gmail.com,,drshodrathakur@gmail.com,Government,NO,28-C/28/97 ,07.05.1997,31.12.2007,21.086463,81.030281
354,bilasa blood bank rajnandgaon,Chhattisgarh,491441,,,,,,,drrameshchandrakar@gmail.com,Government,,,,,0.0,0.0
355,District Hospital Blood Bank Sukma,Chhattisgarh,,,,,,,,,Government,2,,,,0.0,0.0
356,District Hospital Blood Bank,Chhattisgarh,,,9826757066,,,,,,Government,,,,,0.0,0.0
357,Surguja District Hospital Blood Bank ,Chhattisgarh,497001,,9424257335,,,,,drbhagatajad335@gmail.com,Government,NO,28-C/39/97,11/7/1997,31-12-2012,23.1099901,83.1945
358,Holy Cross Hospital Blood Bank,Chhattisgarh,497001,077742 23733,9826126610,,,hchambikapur@gmail.com,,"sr.tesiahchl@gmail.com, hchambikapur@gmail.com",Charity,NO,28-C/2/2004,17-06-2004,31-12-2013,23.134176,83.193534
359,Tej Blood Bank,Chhattisgarh,497001,07774 222666,9826183780,8224007438,"07774 2214722, 07774 2214721, 07774 2214230",narendratuteja51@gmail.com,,"tejdiagno@gmail.com, narendratuteja51@gmail.com",Charity,NO,CG/28-C/09/08,19-12-2014,18-12-2019,23.117556,83.191169
360,Indian Red Cross Society (IRCS) Blood Bank,Dadra and Nagar Haveli,396230,"0260 2640911, 0260 2640577",9824171269,,,,,,Charity,NO,NH/BB/01,30-10-2003,30-10-2013,20.276266,73.008306
361,Daman Raktadan Kendra,Daman and Diu,346210,0260 2255110,9978930857,,0260 2230570,damanraktadankendra@gmail.com,,drvaidya56@yahoo.in,Government,NO,DD/290 ,11/12/2001,11/11/2016,20.433246,72.831276
362,Diu District Blood Bank,Daman and Diu,362520,02875 252480,8980034725,,02875 255080,diu.bloodbank@yahoo.com,,drsssahoo1970@gmail.com,Government,NO,DD/725,15/01/2014,valid upto 14/01/2019,20.712855,70.988929
363,Indian Red Cross Society (IRCS) Blood Bank,Delhi,110001,011-23711551,9818228394,,011 23717454,directorbloodbank@indianredcross.org,http://www.indianredcross.org,drvanshree2002@yahoo.com,Charity,YES,507,12-Jan,16-Dec,28.618675,77.21089
364,Dr. Ram Manohar Lohia Hospital Blood Bank,Delhi,110001,"01123404291, 01123404298",,,011 23404292,drchaudharyk@yahoo.co.in,http://rmlh.nic.in/,drchaudharyk@yahoo.co.in,Government,YES,768/82,11-Dec,16-Dec,28.3734,77.125
365,Sucheta Kriplani Hospital Blood Bank,Delhi,110001,011 23408271,9999441487,,"011 23340566, 011 23408271",bloodbanklhmc@gmail.com,,drvandanapuri@gmail.com,Government,YES,982,01.01.13,31.12.17,28.63566,77.213327
366,Govind Ballabh (G.B.) Pant Hospital Blood Bank,Delhi,110002,"011-23232011, 011 23234242",9718599012,,,bloodbank.gbph@gmail.com,http://www.delhi.gov.in/wps/wcm/connect/doit_gbph/GBPH/Home/Departments/Blood+Bank,doclaskar@yahoo.co.in,Government,YES,756,1.1.11,31.12.16,28.639542,77.235159
367,"Regional Blood Tranfusion Center Blood bank, Central Zone",Delhi,110002,"011 23233809, 011 23231023",8800950606,,,btolnh@gmail.com,,btolnh@gmail.com,Government,YES,787/82,11-Dec,16-Dec,28.638986,77.23836
