Sr No, Blood Bank Name, State, District, City, Address, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, License #, Date License Obtained, Date of Renewal, Latitude, Longitude,label
362,Diu District Blood Bank,Daman and Diu,DIU,Diu,"Govt Hospital
Near Sports Complex, Main Road, DIU","MBBS, Fellowship in HIV Medicine, Diploma in Tropical Medicine",Government,NO,NO,24X7,DD/725,15/01/2014,valid upto 14/01/2019,20.712855,70.988929,0
363,Indian Red Cross Society (IRCS) Blood Bank,Delhi,CENTRAL DELHI,Delhi,"1, Red Cross Road, Near Parliament House",Post Graduade in Transfusion medicine and Transplantation Science,Charity,YES,YES,24x7,507,12-Jan,16-Dec,28.618675,77.21089,0
364,Dr. Ram Manohar Lohia Hospital Blood Bank,Delhi,CENTRAL DELHI,New Delhi,"161, Kali Bari Ln, Havelock Square, Type III, President&#39;s Estate, ","MBBS, MPH",Government,YES,YES,24x7,768/82,11-Dec,16-Dec,28.3734,77.125,0
365,Sucheta Kriplani Hospital Blood Bank,Delhi,CENTRAL DELHI,New Delhi,"C-604, Shaheed Bhagat Singh Marg, Connaught Place, Opposite to Shivaji Stadium Bus Terminal",MD (Pathology),Government,YES,YES,24x7,982,01.01.13,31.12.17,28.63566,77.213327,0
366,Govind Ballabh (G.B.) Pant Hospital Blood Bank,Delhi,CENTRAL DELHI,New Delhi,"1, Jawahar Lal Nehru Marg, Delhi Gate 
",MBBS,Government,YES,YES,24x7,756,1.1.11,31.12.16,28.639542,77.235159,0
367,"Regional Blood Tranfusion Center Blood bank, Central Zone",Delhi,CENTRAL DELHI,New Delhi,"2 Jawarlal Nehru Marg, Delhi Gate, Near UBPH","MBBS, DCH",Government,YES,YES,24x7,787/82,11-Dec,16-Dec,28.638986,77.23836,0
368,Kasturba Hospital Blood Bank,Delhi,CENTRAL DELHI,New Delhi,"Near Jama Masjid, Daryaganj",MBBS,Government,YES,YES,24x7,1480/94,1/1/2013,31-12-2017,28.648838,77.238017,0
369,Sir Ganga Ram Hospital Blood Bank,Delhi,CENTRAL DELHI,New Delhi,"Old Rajindra Nagar, Near Janki Devi College",MD (Pathology),Private,YES,YES,24x7,1443/94,1/1/2012,31-12-2016,28.638675,77.189489,0
370,Lal Bahadur Shastri Hospital Blood Bank,Delhi,EAST DELHI,Delhi,"Near Kalyanvas Colony / Mayur Vihar Phase -II, GNCTD Kichdipur ",MD (Pathology),Government,NO,NO,24x7,E0002/10/BB,30-10-2015,renewal applied,28.617839,77.311452,0
371,Max Super Specialty Hospital Blood Bank,Delhi,EAST DELHI,Delhi,"Max Balaji Hospital (A unit of Balaji Medical and Diagnostic Research Centre), 108-A, Indraprastha Extension, Opposite Sanchar Apartment, Patparganj",MD (Pathology),Private,YES,YES,24x7,1892,9.09.2015,Applied for renewal,28.633501,77.308836,0
372,Dr. Hedgewar Arogaya Sansthan Blood bank,Delhi,EAST DELHI,Delhi,"F-18, Karkardooma",MD (Physician),Government,YES,NO,24x7,1876,1/1/2015,Applied for renewal,28.655875,77.293489,0
373,Lions Blood Bank East Delhi,Delhi,EAST DELHI,Delhi,"369, II Floor, FIE, Near M.C.D. Office, Patparganj Industrial Area
Near Punjab National Bank
","MBBS, DCT",Charity,YES,YES,24x7,(E0016)/15/BB,23.06.2015,22.06.2020,28.641094,77.309423,0
374,Dharamshila Cancer Foundation and Research Centre Blood Bank,Delhi,EAST DELHI,New Delhi,"4th floor, Vasundhara Enclave, Near New Ashok Nagar Metro Station",MD (Pathology),Private,YES,YES,24x7,1521,10.7.14,9.07.19,28.602512,77.314182,0
375,Northern Railway Central Hospital Blood Bank,Delhi,NEW DELHI,New Delhi,"Basant Lane, Connaught Place",MBBS,Government,NO,YES,24x7,1270/88,11-Dec,16-Dec,28.636518,77.217459,0
376,Pushpawati Singhania Research Institute Blood bank,Delhi,NEW DELHI,New Delhi,"Press Enclave Marg, Sheikh Sarai, Phase-II","MBBS, DIHB",Private,YES,YES,24x7,1745,11-Dec,31.12.2016,28.533218,77.225185,0
377,"Cardio Neuro Centre Blood Bank, AIIMS ",Delhi,NEW DELHI,New Delhi,"AIIMS, Ansari Nagar",MBBS,Government,YES,YES,24x7,1204/87,Not Available,Not Available,28.566539,77.20984,0
378,Hindu Rao Hospital Blood Bank,Delhi,NORTH DELHI,Delhi,"G Block 4th floor, Near Civil Lines Malkaganj",MBBS,Government,YES,YES,24x7,786,01.01.2013,31.12.2017,28.67538,77.212312,0
379,St. Stephen&#39;s Hospital Blood Bank,Delhi,NORTH DELHI,Delhi,"Tis Hazari, Opposite to Tis Hazari Metro Station",MD (Pathology),Private,YES,NO,24x7,677/81,1.1.13,31.12.2017,28.665135,77.214542,0
380,Sant Pramanand Hospital Blood Bank,Delhi,NORTH DELHI,Delhi,"18, Sham Nath Marg, Civil lines,",MD (Pathology),Charity,YES,YES,24x7,1895,1/10/2015,renewal,28.677715,77.224099,0
381,Swami Dayanand Hospital Blood Bank,Delhi,NORTH EAST DELHI,Delhi,Dilshad Garden ,MBBS,Government,YES,NO,24x7,Not Available,Not Available,Not Available,28.678471,77.304087,0
382,Mission Jan Jagriti Blood Bank,Delhi,NORTH EAST DELHI,Delhi,"MGS Hospital, 35/37 Rohtak road, West Punjabi Bagh
Adjacent to Maharaja Aggarsen Hospital, Near Shivali park metro station ",MD (Pathology),Charity,YES,YES,9:30 - 5:30pm,C(0013)/14/BB,19.06.2014,18.06.2019,28.606008,77.295437,0
383,Central Poly Clinic Blood Bank,Delhi,NORTH EAST DELHI,New Delhi,"3, Gangan Vihar, Shahdara Road",MD (Pathology),Private,YES,YES,24x7,1799,1/1/2012,Applied for renewal,28.645742,77.292552,0
384,Sushruta Trauma Centre Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"Civil Lines, 9, Metcalf Road",MBBS,Government,NO,NO,24x7,Not Available,Not Available,Not Available,28.680339,77.227674,0
385,Sanjay Gandhi Memorial Hospital Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"S-Block, Mangolpuri",MD (Pathology),Government,YES,NO,24x7,1796,10.10.2011,10.10.2016,28.692792,77.081656,0
386,Sunder Lal Jain Charitable Hospital Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"Ashok Vihar, Phase-III",MD (Pathology),Private,YES,YES,24x7,1544,12-Nov,16-Nov,28.691886,77.181583,0
387,Max Super Specialty Hospital Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"Max Super Specialty Hospital (A Unit of Max Health Care Institute Ltd), FC-50, Block C and D, Shalimar Bagh",MD (Transfusion Medicine) ,Private,YES,YES,24x7,Nw/0006,26.12.2011,25.12.2016,28.727954,77.152927,0
388,Lions Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"A.K.-100, Shalimar Bagh",MBBS,Charity,YES,YES,24x7,1899,Not Available,Not Available,28.704148,77.162213,0
389,Mission Jan Jagriti Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"1, Altius Sonia Hospital, Basement, 1, Gulshan Park, Rohtak Road, Nangloi Metro Station, Metro Piller Number 444","MBBS, DHA",Private,YES,YES,24x7,NW/0005/11/BB,11-Dec,16-Dec,28.501683,77.246745,0
390,Saroj Super Speciality Hospital  Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"Saroj Super Speciality Hospital (Run by Ganesh Das Chowla Charitable Trust-Regd.), Sector-14, Rohini, Madhuban Chowk
",MBBS,Private,YES,YES,24x7,1898,16.05.2011,15.05.2016,28.70612,77.129045,0
391,Rajiv Gandhi Cancer Institute and Research Center Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"Rajiv Gandhi Cancer Institute, Sector-V Rohini ",MD (Transfusion Medicine) ,Private,YES,YES,24x7,1569,01.01.2012,31.12.2016,28.716471,77.11093,0
392,Dr. Baba Sahab Ambedkar Hospital Blood Bank,Delhi,NORTH WEST DELHI,New Delhi,"Sector-6, Rohini",MBBS,Government,YES,NO,24x7,Not Available,Not Available,Not Available,28.715052,77.113639,0
393,Delhi Heart and Lung Institute Blood Bank,Delhi,NORTH WEST DELHI,New Delhi,"3 MM-11, Panchkuian Road","MBBS, DCP",Private,NO,NO,24x7,1840,13.08.2013,12.08.2018,28.641636,77.205219,0
394,Park Hospital Blood Bank,Delhi,NORTH WEST DELHI,New Delhi,"Keshopur Sabzi Mandi, New Chaukhandi, Vishnu Garden",MBBS,Private,YES,YES,24x7,w0001/10/bb,15.06.2015,renewal applied,28.651772,77.093105,0
395,Fortis Hospital Blood Bank,Delhi,NORTH WEST DELHI,New Delhi,"A-Block, Shalimar Bagh",MD (Pathology),Private,YES,YES,24x7,NW0003/10/BB/13091,06.12.2010,renewal applied,28.709162,77.170214,0
396,Pitampura Blood Bank,Delhi,NORTH WEST DELHI,New Delhi,"B-294, Saraswati Vihar, Outer Ring Road, Pitampura",MD (Pathology),Private,YES,YES,24X7,NW(0011/13/BB,7/10/2013,6/10/2018,28.700002,77.125443,0
397,Brahm Shakti Hospital and Research Centre Blood Bank,Delhi,NORTH WEST DELHI,New Delhi,"Brahma Shakti Hospital, U-1/78, Budh Vihar ",MBBS,Private,YES,YES,24x7,1858,4.2015,4.2019,28.712343,77.081205,0
398,Guru Tegh Bahadur Hospital Blood Bank,Delhi,SHAHDARA,Delhi,"G. T. B. Hospital, Shahdara",MD (Pathology),Government,YES,YES,24x7,1227,31.12.2011,31.12.2016,28.683856,77.309903,0
399,Holy Family Hospital Blood Bank,Delhi,SOUTH DELHI,Delhi,"Holy Family Hospital, Okhla Road",MD (Pathology),Private,YES,YES,24X7,691/81,1/1/2013,31-12-2017,28.563012,77.275829,0
400,Batra Hospital and Medical Research Centre Blood Bank,Delhi,SOUTH DELHI,Delhi,"1, Tuglakabad Institutional Area, Mehrauli Badarpur Road, Tughlakabad","MBBS, MD ",Private,YES,YES,24x7,1098,1.1.12,31.12.16,28.513468,77.245773,0
401,All India Institute of Medical Sciences (AIIMS) Blood Bank,Delhi,SOUTH DELHI,New Delhi,"AIIMS, Main Blood Bank, Ansari Nagar, Ring Road",MBBS,Government,YES,YES,24x7,Not Available,Not Available,Not Available,28.567152,77.20902,0
402,Safdarjung Hospital Blood Bank,Delhi,SOUTH DELHI,New Delhi,"Safdarjung Hospital, Ansari Nagar, Ring Road
",MBBS,Government,YES,YES,24x7,692,31.12.12,renewal applied,28.568016,77.205765,0
403,Shri Moolchand Khariti-Ram Hospital and Ayurvedic Research Institute ,Delhi,SOUTH DELHI,New Delhi,"Mool Chand Hospital, Lajpat Nagar-III",MBBS,Private,YES,NO,24x7,Not Available,Not Available,Not Available,28.566225,77.235575,0
404,National Heart Institute Blood Bank,Delhi,SOUTH DELHI,New Delhi,"49, Community Center, East of Kailash",MBBS,Private,YES,NO,24x7,Not Available,Not Available,Not Available,28.5574087,77.2457177,0
405,Max Super Specialty Hospital Blood Bank,Delhi,SOUTH DELHI,New Delhi,"Max Super Specialty Hospital, Heart and Vascular Institute (A Unit of Devki Devi Foundation Institute), 2, Press Enclave Road, Saket","DIHPT, DCP",Private,YES,YES,24x7,1893,15-Sep,Applied for renewal,28.527512,77.213547,0
406,Saket City Hospital Blood Bank,Delhi,SOUTH DELHI,New Delhi,"Mandir Marg, Press Enclave Road, Saket","MBBS, DCP, DNB",Private,YES,YES,24x7,s0010/13/bb,12.7.13,11.07.2018,28.527686,77.214348,0
407,Rockland Hospital Qutab Blood Bank,Delhi,SOUTH DELHI,New Delhi,"B, 33-34, Qutab Institutional Area","MBBS, MD (Pathology)",Private,NO,NO,24X7,License No 1912,5/3/2012,4/3/2017,28.53736,77.181113,0
408,Primus Ortho and Spine Hospital Blood Bank,Delhi,SOUTH DELHI,New Delhi,"Primus Super Speciality Hospital,02, Chandragupta Marg, Lower Ground Floor, Chanakyapuri",MD (Pathology),Private,NO,YES,24x7,sw/0014)/14/bb,14-Dec,19-Dec,28.5929,77.181273,0
409,White Cross Blood Bank,Delhi,SOUTH DELHI,New Delhi,"A-60, East of Kailash",MD (Pathology) ,Private,NO,YES,24x7,1439/94,11-Dec,16-Dec,28.560675,77.253601,0
410,Rotary Blood Bank,Delhi,SOUTH DELHI,New Delhi,"56-57, Institutional Area, Tughlakabad , Next to Batra Hospital
","MBBS, DCP",Private,YES,YES,24x7,504,10/1/2012,9/1/2017,28.513434,77.24269,0
411,Jai Prakash Narayan Apex Trauma Centre Blood Bank,Delhi,SOUTH DELHI,New Delhi,"Jai Prakash Narayen Apex Trauma Centre, AIIMS, Raj Nagar,
Ring Road",MD (Pathology),Private,YES,NO,24x7,1891,27-04-2013,26-04-2018,28.568128,77.200338,0
412,Fortis Escort Heart Institute Blood Bank,Delhi,SOUTH DELHI,New Delhi,"Fortis Escort Heart Institute, Okhla Road

",MD (Transfusion Medicine) ,Private,YES,YES,24x7,1250/88,1/1/2012,31-12-2016,28.560455,77.273777,0
413,Hakeem Abdul Hameed Centenary Hospital Blood Bank,Delhi,SOUTH EAST DELHI,New Delhi,"Jamia Hamdard, Hamdard Nagar",MD (Pathology),Private,YES,YES,24x7,S (0007)/12/BB,20-03-2012,6/3/2017,28.513711,77.251861,0
414,Apollo Hospital Blood Bank,Delhi,SOUTH EAST DELHI,New Delhi,"Indraprastha Medical Corporation, Sarita Vihar",MBBS,Private,YES,YES,24x7,1534/95,11-Dec,16-Dec,28.540647,77.283445,0
415,Armed Forces Transfusion Centre Blood Bank,Delhi,SOUTH WEST DELHI,Delhi,"Delhi Cantonment, Area Sadar Bazar, Army Public School",MBBS,Government,YES,NO,24x7,Not Available,Not Available,Not Available,28.596425,77.117561,0
416,Fortis Flt. Lt. Rajan Dhall Hospital Blood Bank,Delhi,SOUTH WEST DELHI,Delhi,"Fortis Flt. Lt. Rajan Dhall Hospital (A unit of Flt. Lt. Ranjan Dhall Charitable Trust Regd.), Sector-B, Pocket-1, Aruna Asaf Ali Marg, Vasant Kunj",MD (Pathology),Private,YES,YES,24x7,1904,7/7/2011,6/7/2016,28.519397,77.160438,0
417,Institute of Liver and Biliary Sciences Blood Bank,Delhi,SOUTH WEST DELHI,New Delhi,"Institute of Liver and Biliary Sciences, D-1, Vasant Kunj",MD (Transfusion Medicine),Charity,YES,YES,24x7,1938,5.10.14,4.10.2019,28.506259,77.165051,0
418,Mata Chanan Devi Hospital Blood Bank,Delhi,SOUTH WEST DELHI,New Delhi,"Mata Chanan Devi Hospital, C-1 Janakpuri New Delhi ",MBBS,Private,YES,YES,24X7,1698/99,31-12-2013,31-12-2017,28.618861,77.078382,0
419,Bhagat Chandra Hospital Blood Bank,Delhi,SOUTH WEST DELHI,New Delhi,"RZF-1/1, Mahavir  Enclave, Palam",MBBS,Private,YES,YES,24x7,SW0004/11/BB/553,4/5/2011,3/5/2016,28.593451,77.081221,0
420,Indian Spinal Injuries Centre Blood Bank,Delhi,SOUTH WEST DELHI,New Delhi,"Indian Spinal Injuries Centre, C-8, Vasant Kunj","MBBS, DCP",Private,YES,NO,24x7,SW(0008/BB/13,18.03.2013,17.03.2018,28.532663,77.141765,0
421,Bensups Hospital Blood Bank,Delhi,SOUTH WEST DELHI,New Delhi,"Bansups Avenue, Sector 12, Dwarka",MBBS,Private,YES,NO,24x7,Not Available,Not Available,Not Available,28.592838,77.044191,0
422,Blood Bank Organisation,Delhi,WEST DELHI,Delhi,"11/6-B, Shanti Chamber, Opposite Telephone Exchange, Pusa Road",MD (Pathology),Private,YES,NO,24x7,210/92,11-Dec,16-Dec,28.642777,77.18156,0
423,E. S. I. Hospital Blood Bank,Delhi,WEST DELHI,New Delhi,"E S I Hospital, Basai  Darapur, Ring Road",MBBS,Government,YES,NO,24x7,Not Available,Not Available,Not Available,28.657697,77.13012,0
424,Maharaja Agrasen Hospital Blood Bank,Delhi,WEST DELHI,New Delhi,"Maharaja Agrasen Hospital, West Punjabi Bagh",MBBS,Private,YES,YES,24x7,1800/2001,28-11-2011,27-11-2016,28.67408,77.134063,0
425,Sri Balaji Action Medical Institute Blood Bank,Delhi,WEST DELHI,New Delhi,"Sri Balaji Action Medical Institute, FC-34, A-4, Paschim Vihar","MD (Pathology), MBA",Private,YES,YES,24x7,1874,09.01.2015,Renewal letter awaited,28.673738,77.110226,0
426,Dr. B. L. Kapoor Memorial Hospital Blood Bank,Delhi,WEST DELHI,New Delhi,"B. L. K. Memorial Hospital,  Pusa Road","MBBS, DNB(Pathology)",Private,YES,YES,24x7,1928,30.04.2014,29.04.19,28.643642,77.179979,0
427,Kalra Hospital and Shri Ram Cardiothoracic and Neurosciences Center (SRCNC) Blood Bank,Delhi,WEST DELHI,New Delhi,"Kalra Hospital SRNCNC, A-4, Kirti Nagar",MD (Pathology) ,Private,YES,YES,24x7,1942,11.10.2014,renewal applied,28.657823,77.142691,0
428,"R.B.T.C (wz), Deen Dayal Upadhyay Hospital",Delhi,WEST DELHI,New Delhi,"Deen Dayal Upadhyay Hospital, Hari Nagar, Near Clock Tower",MBBS,Government,YES,YES,24x7,1226/1988,1/12/2011,31-12-2016,28.583437,77.117583,0
429,Jaipur Golden Hospital Blood Bank,Delhi,WEST DELHI,New Delhi,"Jaipur Golden Hospital, 2, Industrial Area,  Rohini, Sector-III ",MBBS,Private,YES,YES,24x7,1751/2000,11-Dec,31-12-2016,28.697734,77.109478,0
430,Jan Jagriti Blood Bank,Delhi,WEST DELHI,New Delhi,"Mission Jan Jagriti, Blood Bank, C/o. Jeevan Anmol Hospital Mayur Vihar Phase I ","MBBS, DHA",Private,YES,YES,24X7,E(0012)13/133,31.12.2013,30.12.18,28.605975,77.295427,0
431,District Hospital Blood Bank ,Goa,NORTH GOA,Mapusa,"District Hospital, Pedem, Mapusa, Goa ",MBBS,Government,NO,NO,12 hours  (09 am - 04.30 pm Blood Collection),888		,24-02-2013,25-02-2018,15.597585,73.820198,0
432,Goa Medical College Blood Bank,Goa,NORTH GOA,Panaji,"Goa Medical College, Bambolim, Tiswadi, Goa ","MD (Pathology), DNB, MNAMS, MIAC",Government,YES,NO,24 hours (9-4.30 Blood Collection),228	,31-12-2012	,1/1/2018,15.463768,73.858813,0
433,Hospicio Hospital Blood Bank,Goa,SOUTH GOA,Margao,"Hospicio Hospital, Margao, Salcete, Goa ",MBBS,Government,NO,NO,24 X 7,68/F28C	,30-12-2012	,31-12-2017,15.27947,73.960567,0
434,Apollo Victor Hospital Blood Bank,Goa,SOUTH GOA,Margao,"Apollo Victor Hospital, Malbhat, Margao",MBBS,Private,NO,NO,24 hours ,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,15.268835,73.965605,0
435,SMRC&#39;s V. M. Salgaocar Hospital Blood Bank,Goa,SOUTH GOA,Vasco,"SMRC&#39;s V.M.Salgaocar Hospital, Chicalim, off Airport Road, Vasco-da-Gama

",MD (Pathology),Private,NO,NO,24 X 7,909,21-07-2012,20-07-2017,15.395075,73.837127,0
436,V. S. Hospital Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"C/o. Sheth, Vadilal Sarabhai (V.S.) Hospital, Ellisbridge, Ahmedabad",MD,Government,YES,NO,24X7,GB/754,8/2/2013,7/2/2018,23.020595,72.571659,0
437,Smt. Shardaben Hospital Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Smt. Laxmiben Chimanlal Lalbhai Blood Bank, C/o. The Superintendent, Smt. Shardaben Chimanlal Municipal General Hospital, Saraspur, Ahmedabad.",MD,Government,NO,NO,24X7,G/774,2/12/2011,1/12/2016,23.035285,72.617719,0
438,L. G. Hospital Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Sheth L.G. General Hospital and Blood Bank, Maninagar, 
Ahmedabad",MD,Government,YES,YES,24X7,GB/775,15-06-2013 ,14-05-2018,22.999464,72.60458,0
439,Civil Hospital Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Blood Bank, Department of IHBT, C/o.The Civil Hospital, Asarwa, Ahmedabad",MD,Government,YES,YES,24X7,GB/791,21-05-2012 ,20-05-2017,23.051227,72.6055,0
440,General Hospital Blood Bank Sola,Gujarat,AHMEDABAD,Ahmedabad,"Blood Bank, Civil Hospital, Sarkhej Highway, Near Gujarat High Court,  Sola, Ahmedabad",MD (Pathology),Government,NO,NO,24X7,GB - 135  (Licence Validity Certificate),30 - 12 - 2013,9/1/2019,23.082702,72.525858,0
441,Indian Red Cross Society Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Indian Red Cross Society, J. L. Thakore Red Cross Bhavan, 
18-Gujarat Brahmkshatriya Society, Behind Suvidha Market,
Paldi, Ahmedabad",MD,Charity,YES,NO,24X7,GB-752,2012,31/12/2017,23.012718,72.55774,0
442,The Gujarat Cancer & Research Institute Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"The Gujarat Cancer & Research Institute, M.P. Shah Cancer Hospital, Civil Hospital Campus, Asarwa, Ahmedabad","MBBS, MD (Pathology)",Government,YES,NO,24X7,G777,20-08-1992,31-12-2016,23.039061,72.610263,0
443,Institute of Kidney Disease and Research Centre ,Gujarat,AHMEDABAD,Ahmedabad,"Blood Bank, The Institute of Kidney Disease and Research Centre, Civil Hospital Compound, Asarwa, Ahmedabad",MD,Government,YES,YES,24X7,GB/29,1/5/2013,30-04-2018,23.051439,72.605577,0
444,Help Voluntary Blood Bank  ,Gujarat,AHMEDABAD,Ahmedabad,"Help Voluntary Blood Bank (Green Cross Voluntary Blood Bank Pathology and RIA Laboratory) 6 and 7, Kotyark Complex, Opposite to L.G. Hospital, Maninagar, Ahmedabad ",MD,Charity,YES,NO,24X7,GB/37,3/12/2012,2/12/2017,23.000103,72.604863,0
445,GUJARAT CANCER MEDICAL COLLEGE,Gujarat,AHMEDABAD,Ahmedabad,"Blood Bank, Gujarat Cancer Society Medical College Hospital and Research Centre, 
Opp. D.R.M. office, Swadesi Mill compound,
Near Chamunda Bridge, 
Ahmedabad","M.D., Path.",Government,YES,NO,24X7,GB-163,9/5/2011,8/5/2016,23.038706,72.610334,0
446,General Hospital Blood Bank ,Gujarat,AHMEDABAD,Ahmedabad,"Model Hospital Blood Bank, (ESIS), Blood Bank, Bapunagar, Ahmedabad",MBBS,Government,NO,NO,24X7,GB/61		,25-10-2013,24-10-2018,23.028114,72.623869,0
447,Military Hospital Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Military Hospital Blood Bank, 24, M. H. Complex, Ahmedabad",MD,Government,NO,NO,24X7,GB/138,24-05-2012 ,23-05-2019,0.0,0.0,0
448,Dr. Jivraj Mehta  Smarak Health Foundation Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Blood Bank, Dr. Jivraj Mehta  Smarak Health Foundation, Bakeri Medical Research Centre, Arogya Dham, Dr. Jivraj Mehta Marg, Ahmedabad.",MBBS,Charity,NO,NO,24X7,GB/55,1/1/2012,31-12-2016,23.008319,72.543367,0
449,Prathama Blood Centre,Gujarat,AHMEDABAD,Ahmedabad,"Prathama Blood Centre, B/H Jivraj Mehta Hospital, Near Lavanya Society, Dr. C.V. Raman Marg, Vasna, Ahmedabad",MD (Pathology),Charity,YES,YES,24 hours 365 days,GB 96,1/1/2012,31-12-2016,23.006225,72.541921,0
450,White Cross Blood Bank ,Gujarat,AHMEDABAD,Ahmedabad,"White Cross Blood Bank (Vol.), 2nd Floor, Kandhari Building, 
Opposite to S.T. Workshop, Naroda Road Patia, Naroda , Ahmedabad",MD,Charity,NO,NO,24x7,GB/80,17-04-2013 ,13-12-2018,23.06573,72.636791,0
451,Adarsh Pathology Laboratory and Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Adarsh Pathology Laboratory and Blood Bank, 1st Floor, Samjuba Hospital, Bapunagar, Ahmedabad",MBBS,Private,NO,NO,9 am to 8pm,G/637,17-04-2013 ,16-04-2018,23.033177,72.628422,0
452,Gujarat Blood Bank Paldi,Gujarat,AHMEDABAD,Ahmedabad,"Gujarat Blood Bank (Voluntary), Pathology Laboratory, 101, Span Trade Centre, Opp. Kochrab Ashram, Near Paldi Char Rasta, Paldi, Ahmedabad",MD,Private,NO,NO,24X7,GB/56,1/1/2012,31-12-2016,23.016405,72.566328,0
453,Karnavati Blood Bank and Pathology Lab,Gujarat,AHMEDABAD,Ahmedabad,"Karnavati Blood Bank and Pathology Lab, 36, Subhlaxmi Complex, Naranpura, Ahmedabad",MD,Private,YES,NO,24X7,GB/4,1/1/2011,31-12-2015,23.057858,72.552974,0
454,Cross World Voluntary Blood Bank ,Gujarat,AHMEDABAD,Ahmedabad,"Cross World Voluntary Blood Bank, Chandraprabhu Complex,
Sardar Patel Cross Road, Ahmedabad",MD,Private,NO,NO,24X7,GB/80,17-04-2013 ,13-12-2018,23.056322,72.570237,0
455,Maha Gujarat Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Maha Gujarat Blood Bank (Voluntary) and Pathology Lab, 21, Parth  Comp., Near Maninagar Fire Station, Maninagar, Ahmedabad",MD,Private,YES,NO,24X7,GB/102,1/1/2012,31-12-2016,22.997578,72.603054,0
456,Supratech Voluntary Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Supratech Voluntary Blood Bank, Mild Stone Building, 1st Floor, Near Drive-in Cinema, Thaltej, Ahmedabad",MD,Charity,NO,NO,24X7,GB/84,Latest renwed License is awaited,applied for renewal,23.067721,72.512046,0
457,Sterling Hospital,Gujarat,AHMEDABAD,Ahmedabad,"Blood Bank, Sterling Hospitals, Drive in Road, Near Gurukul, Memnagar Road, Ahmedabad",MD,Private,YES,YES,24X7,GB-160,31-08-2010,Under Process,23.048798,72.531309,0
458,Ami Pathology Laboratory and Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Ami Pathology Laboratory and Blood Bank, 14-15 Baronet Tower (Complex), Tollnaka, Highway , Ramnagar, Sabarmati, Ahmedabad",MBBS,Private,NO,NO,24X7,GB664	,Jan-11	,11-Jan-16,23.08705,72.592226,0
459,Gujarat Blood Bank Naranpura,Gujarat,AHMEDABAD,Ahmedabad,"Gujarat Blood Bank (Voluntary) and Pathology Laboratory,  
1-2, Subhlaxmi Complex, Naranpura, Ahmedabad",MD,Government,NO,NO,24X7,GB/21,01/01/2012  to  ,31/12/2016,23.055467,72.560224,0
460,Indian Red Cross Society Blood Bank,Gujarat,AMRELI,Amreli,"Mahatma Muldas Red Cross Bhavan, Civil Hospital Campus",MD (Pathology),Charity,NO,NO,24X7,GB/38,Applied for renewal,Applied for renewal,21.606994,71.22186,0
461,Indian Red Cross Society Blood Bank,Gujarat,ANAND,Anand,"Blood Bank, Indian Red Cross Society, Sardar Bhavan, Opposite to Municipal Building, Sardar Ganj Road, Anand",MD,Private,NO,NO,24X7,GB/119,Latest renwed License is awaited,applied for renewal,22.554608,72.960402,0
462,Indu Voluntary Blood Bank,Gujarat,ANAND,Anand,"Indu Voluntary Blood Bank Managed by Charotar Health Research Foundation Trust, Jashganga Complex, Station Road, Anand",MBBS,Charity,YES,NO,24X7,GB/65,2012,2017,22.596385,72.80717,0
463,Ghanshyam Pathlology Laboratory and Blood Bank,Gujarat,ANAND,Anand,"Ghanshyam Pathlology Laboratory and Blood Bank, Krishna Road,  B/h . Mayfair Hotel, Anand ",MBBS,Private,NO,NO,24X7,GB/47,applied for renewal,31-12-2016,22.556549,72.963992,0
464,Lions Club Khambat Blood Bank,Gujarat,ANAND,Kambhat,"Blood Bank, The Secretary, Lions Club (Society), Lions Medical Centre, Pith Bazar, Khambhat, Anand District",MD,Private,YES,NO,24X7,G/767,1/1/2013,31-12-2017,21.520533,70.454461,0
465,A.D. Gorwala Karamsad Blood Bank  ,Gujarat,ANAND,Karamsad,"A.D.Gorwala Blood Bank, Pramukhswami Medical College and Shree krishna Hospital, Gokulnagar, Karamsad, Anand",MD,Charity,YES,YES,24X7,G/715,1/1/2012,31-12-2016,22.539473,72.890433,0
